web-scraper-order,web-scraper-start-url,job-title,company,locations,job-id
"1739412261-1","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Process Specialist","Infosys BPM Limited","Bengaluru","34011290"
"1739412261-2","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Process Specialist- ServiceNow HRSD","Infosys BPM Limited","Bengaluru","34011276"
"1739412261-3","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Application Owner - SAP Financial Accounting & Controlling","Icici Bank Limited","Navi Mumbai, Mumbai City, Mumbai","33926390"
"1739412261-4","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Job Title*- Digital Solution Architect Specialist Advisor","NTT DATA Global Delivery Services Limited","Bengaluru, Delhi NCR, Pune","34003469"
"1739412261-5","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Control M Administrator","Capgemini Technology Services India Limited","Bengaluru","34003187"
"1739412261-6","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Software Technical Writer","Capgemini Technology Services India Limited","Bengaluru","34003212"
"1739412261-7","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","UI Automation Test","Capgemini Technology Services India Limited","Pune","34003195"
"1739412261-8","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Solution Architect - Machine Learning","Capgemini Technology Services India Limited","Delhi, Hyderabad, Pune","34003194"
"1739412261-9","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Technical Solution Architect Specialist Advisor","NTT DATA Global Delivery Services Limited","Hyderabad, Bengaluru, Delhi","34003499"
"1739412261-10","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Payments Business Analyst","Capgemini Technology Services India Limited","Bengaluru","34003244"
"1739412261-11","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Senior Process Executive","Infosys BPM Limited","Bengaluru","34011275"
"1739412261-12","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Python QA","Wipro Limited","Bengaluru, Kolkata, Pune","34009965"
"1739412261-13","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Walk-in Drive on AutoCAD 3D skill on 17th Jan at Hyderabad.","Infosys BPM Limited","Hyderabad","34009531"
"1739412261-14","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Java + Springboot Senior Developer","Infosys Limited","Bengaluru","34003568"
"1739412261-15","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Hadoop Developer","HCL Technologies Limited","Chennai, Bengaluru","33738692"
"1739412261-16","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Databricks Engineer","Tata Consultancy Services Limited","Delhi, Delhi NCR","33916766"
"1739412261-17","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Network Engineer LAN","Tata Consultancy Services Limited","Hyderabad","33856715"
"1739412261-18","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","INNOVATION PROJECT MANAGER","Capgemini Technology Services India Limited","Kolkata","33828290"
"1739412261-19","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Associate Consultant","Infosys BPM Limited","Bengaluru","33994310"
"1739412261-20","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","IT/OT Architect","Capgemini Technology Services India Limited","Bengaluru","33828277"
"1739412261-21","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","INFOR WFM Tester","Birlasoft Limited","Bengaluru, Noida, Pune","33553701"
"1739412261-22","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Data Security Analyst","Wipro Limited","Bengaluru","33471731"
"1739412261-23","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Cloud Security Analyst","Wipro Limited","Bengaluru","33521664"
"1739412261-24","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Network Security Analyst","Wipro Limited","Bengaluru","33471837"
"1739412261-25","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Oracle SCM Architect","Birlasoft Limited","Pune","33667907"
"1739412261-26","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","MES Apriso Developer","Birlasoft Limited","Noida, Mumbai, Pune","33908869"
"1739412261-27","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Sr Project Lead-EA Technical","Birlasoft Limited","Hyderabad","33667970"
"1739412261-28","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Servicedesk Support","Birlasoft Limited","Navi Mumbai, Noida, Pune","33754315"
"1739412261-29","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Lead Consultant - Enterprise Apps","Birlasoft Limited","Pune","33667976"
"1739412261-30","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Hiring SAP BW on Hana ll India","HCL Technologies Limited","Hyderabad, Bengaluru, Chennai","33738691"
"1739412261-31","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Immediate hiring For Automation Anywhere Developer","HCL Technologies Limited","Pune","33668365"
"1739412261-32","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Hiring SAP ABAP on Hana ll India","HCL Technologies Limited","Hyderabad, Chennai, Bengaluru","33738693"
"1739412261-33","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Splunk Developer","HCL Technologies Limited","Bengaluru, Chennai","33772795"
"1739412261-34","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Sap Mdm Consultant","HCL Technologies Limited","Bengaluru","33663058"
"1739412261-35","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Voltmx developer","HCL Technologies Limited","Hyderabad, Bengaluru, Pune","33738969"
"1739412261-36","https://www.foundit.in/srp/results?sort=1&limit=100&query=%22%22&quickApplyJobs=true&industries=information+technology","Performance Test Architect","HCL Technologies Limited","Bengaluru, Chennai, Pune","33738912"
