job-title,company,locations,edited_job-title,edited_company,edited_locations,years_of_experience,job_description,job_type
Process Specialist,Infosys BPM Limited,Bengaluru,Process-Specialist,Infosys-BPM-Limited,Bengaluru,2-5 Years,Responsibilities	Good Communication Skill.	Strong knowledge on SQL is must.	Audience Build for campaigns using SQL in SAS platform.	Understand list-selection criteria and ensure achievement of all objectives.	Create & send waterfall reports for Campaign manager's approval.	Perform quality check and ensure quality in campaign implementation.	Coordinate with clients and prepare lists for all campaigns.	Supervise effective implementation of marketing campaigns; recommend changes and modifications to various campaign data.	Analyze campaigns and provide recommend improvements to all campaigns and prepare appropriate reports.	Perform troubleshoot on all campaigns to ensure quality of all programs.	Monitor inventories for all campaigns daily and ensure client satisfaction in all activities.	Participate in all calls related to campaigns.,Permanent Job
Process Specialist- ServiceNow HRSD,Infosys BPM Limited,Bengaluru,Process-Specialist-ServiceNow-HRSD,Infosys-BPM-Limited,Bengaluru,2-4 Years,"Skills & Qualifications:	Experience:o	1-3 years of experience working with ServiceNow HRSD or similar HR service management platforms.o	Knowledge of HR processes and functions, such as onboarding, benefits administration, payroll, and employee inquiries.	Technical Skills:o	Proficiency in the ServiceNow HRSD module, including knowledge of HR-specific service catalogs, HR cases, and knowledge management.o	Familiarity with ServiceNow workflows, reporting, and task management tools.o	Strong understanding of HR service delivery processes and how they are mapped within ServiceNow.	Communication Skills:o	Excellent communication skills, both written and verbal, to communicate with employees and HR teams effectively.o	Ability to explain HR processes and ticket statuses to non-technical employees in a clear and professional manner.	Problem-Solving Skills:o	Strong analytical and troubleshooting skills to categorize, prioritize, and resolve or route HR issues efficiently.	Organization & Attention to Detail:o	Ability to handle multiple tickets simultaneously while maintaining high attention to detail and accuracy.o	Strong organizational skills to manage and track HR requests from intake to resolution.	Certifications:o	ServiceNow Certified System Administrator (CSA) or ServiceNow Certified Application Developer (CAD) (preferred, but not required).o	ITIL Foundation certification (preferred).	HR Knowledge:o	Understanding of HR concepts, including employee lifecycle management, benefits, compensation, and employee relations.",Permanent Job
Application Owner - SAP Financial Accounting & Controlling,Icici Bank Limited,"Navi Mumbai, Mumbai City, Mumbai",Application-Owner-SAP-Financial-Accounting-Controlling,Icici-Bank-Limited,Navi-Mumbai-Mumbai-City-Mumbai,12-14 Years,"Essential Services: Role & Location fungibilityThe role description gives you an overview of the responsibilities; it is only directional and guiding in nature. At ICICI Bank, we believe in serving our customers beyond our role definition, product boundaries, and domain limitations through our philosophy of customer 360-degree. In essence, this captures our belief in serving the entire banking needs of our customers as One Bank, One Team. To achieve this, employees at ICICI Bank are expected to be role and location-fungible with the understanding that Banking is an essential service.About the roleIn this role, the role holder will be responsible for managing SAP FICO (Financial Accounting & controlling) and Material Management modules of SAP ERP (Enterprise Resource Planning). This role involves managing the day-to-day operations of the modules, integrating with various systems, and taking up new changes in line with statutes (changes in taxation, GST, and others), as well as working on developmental activities to enable the efficiency of operations. While the role holder would be managing the existing SAP ERP system, implementation know-how on fulfilling periodic change requests would be required. This role also involves managing various stakeholders like user groups (finance & other business groups), vendors, technology infrastructure teams, IT support, and IT compliance, amongst others. This role also involves leading teams to handle web applications (non-SAP).Key ResponsibilitiesOperation Management:Manage the module's day-to-day operations and ensure it supports the needs of the user groups by proactively observing performance and other integrating systems.Change Management:Understand the business processes and analyze suitable IT solutions for optimizing the business process. Exhibit acumen to design and build controls. Perform a detailed analysis of the changes suggested by the user groups in line with the regulations. Ensure the changes are implemented in a timely manner according to the change requests.Stakeholder Management:Work with various internal and external stakeholders, such as vendors, IT, compliance, and user groups, to obtain periodic input on the requirements, improvements, and changes.Key Qualifications & SkillsEducation Qualification:Chartered Accountants with 10-12 years of experience; hands-on knowledge of implementing and managing SAP FICO & Material Management (MM) modules. Understanding of enterprise accounting and book closing activities.",Permanent Job
Job Title*- Digital Solution Architect Specialist Advisor,NTT DATA Global Delivery Services Limited,"Bengaluru, Delhi NCR, Pune",Job-Title-Digital-Solution-Architect-Specialist-Advisor,NTT-DATA-Global-Delivery-Services-Limited,Bengaluru-Delhi-NCR-Pune,10-20 Years,"DescriptionWe are looking for a Digital Solution Architect Specialist Advisor who will be responsible for designing and implementing digital solutions for our clients. The ideal candidate will have a strong technical background and experience in architecting digital solutions for large enterprises.Responsibilities10+Experience in solution architecture with an emphasis on business process services7+ Experience in manufacturing or any commercial industries like Telecom, Retail or Hospitality.2+ years of experience with automation and machine learning solutions.5+ Years in financial modelling.Experience with creating and communicating business value prop to executive in both oral and written format.Be a solution architecture/designer for business process service.Independently able to solution and respond to RFP's.Provide solution and technology consulting and drive opportunities for leveraging GenAI, AI based solutions on various platformsDrive close discussions with client and draw technical and functional requirements through workshops with stakeholdersDevelop Point of Views that provide details of scope, due-diligence, approach and business/cost benefit.Collaborate with NTT DATA Global business and stakeholdersSkills and QualificationsExcellent communication and articulation in English languageStrong excel and math acumen.Excellent problem-solving and analytical skills.Enthusiasm for AI/ML technologies and a proactive attitude towards learning and staying updatedBachelors / Masters / PhD degree in Computer Science or related fieldCertification or Degree with AI and machine learning.",Permanent Job
Control M Administrator,Capgemini Technology Services India Limited,Bengaluru,Control-M-Administrator,Capgemini-Technology-Services-India-Limited,Bengaluru,4-6 Years,Job descriptionBMC Control-M|Primary Skill - Control MSecondary Skill - Knowledge in SAP process ; Linux AdminJob Summary:We are seeking a highly skilled and detail-oriented Control-M Scheduler to design; implement; and maintain automated job workflows across various business processes. The ideal candidate will ensure the efficient execution of jobs; resolve scheduling conflicts; and proactively manage system performance to support operational excellence.Job Scheduling & Management:Create; modify; and maintain job schedules in Control-M to meet business and operational requirements.Monitor job execution; troubleshoot errors; and resolve scheduling conflicts in a timely manner.Implement workflows across multiple systems and platforms.Automation:Automate manual processes to improve efficiency.Monitoring & Optimization:Monitor the Control-M environment for performance and reliability.Monitor jobs in CA7 Scheduler and in SAP landscape.Very good knowledge of Quantitative resources and IN/OUT conditions.Optimize job workflows to ensure minimal downtime and maximum efficiency.Proactively identify and resolve potential system bottlenecks.Incident Management:Respond to job failures and ensure issues are documented; analyzed; and resolved promptly.Coordinate with development; operations; and business teams to troubleshoot and resolve issues.Documentation & Reporting:Maintain detailed documentation for all scheduled workflows; dependencies; and processes.Generate reports on job performance; trends; and system health for management review.Collaboration & Communication:Work closely with application; database; and infrastructure teams to understand scheduling requirements.Provide training and support to end-users on Control-M functionalities.,Permanent Job
Software Technical Writer,Capgemini Technology Services India Limited,Bengaluru,Software-Technical-Writer,Capgemini-Technology-Services-India-Limited,Bengaluru,2-7 Years,"Job descriptionThis role involves the development and application of engineering practice and knowledge in the creation and assurance of products and solutions across engineering disciplines. Includes defining the fundamental concepts and properties of an engineered system or product, creatively determining a products physical form, function and performance, and the assurance of safety, reliability, availability maintainability. Also addresses the through life support and evolution of systems and products, via provision and support of documentation and information assets, assessment of whole lifecycle environmental impact against environmental regulations and policies, and incorporation of renewable energy sources and clean technologies into product system design.Job Description - Grade SpecificFocus on Systems Engineering Product Design. Develops competency in own area of expertise. Shares expertise and provides guidance and support to others. Interprets clients needs. Completes own role independently or with minimum supervision. Identifies problems and relevant issues in straight forward situations and generates solutions. Contributes in teamwork and interacts with customers.",Permanent Job
UI Automation Test,Capgemini Technology Services India Limited,Pune,UI-Automation-Test,Capgemini-Technology-Services-India-Limited,Pune,4-7 Years,"Job descriptionUI Automation test -Must Have experience in Python , Playwright and PytestTest Automation Development: Design, develop, and maintain automated test scripts using tools such as Selenium, Cypress, or Playwright to validate the functionality, performance, and user interface of web applications.Test Planning & Execution: Collaborate with QA engineers and developers to define test cases, execute automated tests, and identify defects, ensuring alignment with user stories and product requirements.Bug Reporting & Issue Tracking: Identify, report, and track defects in test management tools (e.g., Jira), and work closely with the development team to reproduce, debug, and resolve issues in the application.Continuous Integration & Delivery: Integrate automated tests into CI/CD pipelines (e.g., Jenkins, GitLab CI) to ensure automated tests are run with each build and deployment, helping maintain code quality and stability.Test Documentation & Reporting: Maintain thorough test documentation, including test plans, scripts, execution results, and reporting, to ensure transparency, traceability, and actionable insights for stakeholders.",Permanent Job
Solution Architect - Machine Learning,Capgemini Technology Services India Limited,"Delhi, Hyderabad, Pune",Solution-Architect-Machine-Learning,Capgemini-Technology-Services-India-Limited,Delhi-Hyderabad-Pune,7-12 Years,"About The Role :Identify opportunities where AI and machine learning can be applied to streamline processes, automate tasks, and enhance decision-making.Design end-to-end AI architectures that align with business objectives, considering data integration, model selection, and system scalability.Lead discussions on AI solution design, providing technical leadership and insights to drive decision-making.Lead the evaluation and selection of AI technologies, frameworks, and tools to support solution development.Experience with business process analysis, process automation, and operational efficiency improvement is an advantageExcellent communication skills and the ability to work collaboratively with cross-functional teams.Stay at the forefront of AI advancements, researching and evaluating emerging technologies to ensure our solutions remain cutting-edge and competitive.Document architectural decisions, technical documentation that aids in solution understandingPrimary SkillsOverall 10+ years of experience in leveraging artificial intelligence and machine learning technologies to optimize and transform various aspects of our business operations.Minimum of 5 years of experience in designing and architecting AI solutions, with a strong focus on end-to-end automationSecondary SkillsProven expertise in machine learning techniques, deep learning frameworks, image processing and AI-related technologies including Generative AIExperience with one of the cloud platforms (e.g., AWS, Azure, Google Cloud)",Permanent Job
Technical Solution Architect Specialist Advisor,NTT DATA Global Delivery Services Limited,"Hyderabad, Bengaluru, Delhi",Technical-Solution-Architect-Specialist-Advisor,NTT-DATA-Global-Delivery-Services-Limited,Hyderabad-Bengaluru-Delhi,8-15 Years,"DescriptionWe are looking for a Technical Solution Architect Specialist Advisor with 8-15 years of experience. The ideal candidate will be responsible for designing and implementing technical solutions for our clients. The candidate should have strong technical knowledge and be able to communicate effectively with clients, team members, and stakeholders.ResponsibilitiesCreating technical solutions for multi-million-dollar outsourcing opportunitiesEnsuring compliance with technical and contractual requirements of RFPsAssisting with RFPs/RFIs, and other technical questionnairesOperating in a fast-paced environment where every detail counts and responsiveness is an absolute necessityDeliver business, technology and overall technical solution planning and execution of the design process for sales pursuit effortsCollaborate with the various internal and external teams in pursuit of new business contractsEarly engagement in the sales cycle to understand customer requirements and business driversAlign customer requirements and NTT DATA Services service portfolio to win new business engagements by leading infrastructure solutions development for various technologies within the technical service areaProvides the vision and strategy to customer and NTT DATA Services internal teams to develop scalable, repeatable processes and solutions to enhance NTT DATA Services competitivenessIntegrate existing service offerings into new dealsPartners with Sales Executives to position NTT DATA Services valueInitiative to include emerging and acquired technologies in the solutionParticipate in Customer-facing sessions, as a listener as well as a presenterSkills and QualificationsIn-depth knowledge of Transition and Transformation concepts, best practices, and methodsExperience in tools like MS Office and MS ProjectDeep understanding of creating a scope of work, bill of material and design of timelinesRelationship building skills to effectively present ideas and issues to different levels within and outside of the organization, to include leadership, customers, etc.Ability to remain current on PMI industry trends, tools, techniques, and proceduresAble to analyze applications and process against common industry benchmarksCreating technical solutions for multi-million-dollar outsourcing opportunitiesBachelor's degree in computer science, Information Technology, or related field",Permanent Job
Payments Business Analyst,Capgemini Technology Services India Limited,Bengaluru,Payments-Business-Analyst,Capgemini-Technology-Services-India-Limited,Bengaluru,3-8 Years,"Job descriptionMust have skills.Payment Domain Expertise, MUST - Knowledge on MT and MX Message, Basics of SQL, and JavaSpecific skillset on MTS and UPF knowledge. Payment domain expertise, knowledge on MT and MX messagesWorks in the area of Software Engineering, which encompasses the development, maintenance and optimization of software solutions/applications.1. Applies scientific methods to analyse and solve software engineering problems.2. He/she is responsible for the development and application of software engineering practice and knowledge, in research, design, development and maintenance.3. His/her work requires the exercise of original thought and judgement and the ability to supervise the technical and administrative work of other software engineers.4. The software engineer builds skills and expertise of his/her software engineering discipline to reach standard software engineer skills expectations for the applicable role, as defined in Professional Communities.5. The software engineer collaborates and acts as team player with other software engineers and stakeholders.",Permanent Job
